Question: Has your enterprise applied for any of the following initiatives?,,,,,,,,,,,,,,,,,
"Percentage of businesses either continuing to trade or who have temporarily paused or ceased trading, broken down by industry, UK, 6 April to 19 April 2020",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Industry,Coronavirus Job Retention Scheme,Business rates holiday,Deferring VAT payments,HMRC Time To Pay scheme,Government-funded small business grant or loan schemes,Accredited finance agreements,We have not applied for any of these initiatives,,,,,,,,,,
Manufacturing,63.5%,14.0%,44.3%,19.3%,4.8%,8.6%,26.0%,,,,,,,,,,
"Water Supply, Sewerage, Waste Management And Remediation Activities",68.6%,15.7%,57.1%,21.4%,5.7%,10.0%,21.4%,,,,,,,,,,
Construction,80.9%,13.5%,59.9%,28.7%,6.0%,9.6%,11.7%,,,,,,,,,,
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,72.6%,44.6%,60.1%,25.0%,13.3%,9.0%,15.5%,,,,,,,,,,
Accommodation And Food Service Activities,87.1%,78.2%,80.6%,42.2%,24.9%,20.6%,2.7%,,,,,,,,,,
Transportation And Storage,76.6%,24.1%,55.3%,24.8%,6.4%,9.2%,16.7%,,,,,,,,,,
Information And Communication,40.1%,8.2%,47.4%,13.7%,3.6%,3.8%,37.3%,,,,,,,,,,
"Professional, Scientific And Technical Activities",62.2%,12.6%,66.2%,18.6%,4.9%,8.1%,20.7%,,,,,,,,,,
Administrative And Support Service Activities,75.7%,20.1%,63.7%,20.5%,21.8%,12.3%,13.9%,,,,,,,,,,
Education,40.5%,8.5%,26.3%,7.0%,2.2%,2.8%,48.4%,,,,,,,,,,
Human Health And Social Work Activities,34.5%,13.4%,16.2%,6.3%,10.6%,2.8%,55.6%,,,,,,,,,,
"Arts, Entertainment And Recreation",76.3%,57.2%,61.2%,33.1%,18.0%,18.3%,1200.6%,,,,,,,,,,
All Industries,67.2%,27.4%,56.4%,22.3%,11.2%,9.9%,20.7%,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Rounded to one decimal place,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Notes: ,,,,,,,,,,,,,,,,,
"Final results, Wave 3 of ONS Business Impact of Coronavirus (COVID-19) Survey that are either continuing to trade or who have temporarily paused or ceased trading.",,,,,,,,,,,,,,,,,
"Real Estate Services, Other Services and Mining and Quarrying have been removed due to their low response rate, but their totals are included in ¡®All Industries¡¯. ",,,,,,,,,,,,,,,,,
The percentages in this chart will not sum to 100% as businesses were able to select multiple options,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Percentage of businesses either continuing to trade or who have temporarily paused or ceased trading, broken down by size band, UK, 6 April to 19 April 2020",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Workforce Size,Coronavirus Job Retention Scheme,Business rates holiday,Deferring VAT payments,HMRC Time To Pay scheme,Government-funded small business grant or loan schemes,Accredited finance agreements,We have not applied for any of these initiatives,,,,,,,,,,
< 250,68.7%,27.2%,56.0%,22.4%,13.5%,11.2%,19.8%,,,,,,,,,,
250 +,64.7%,27.9%,57.1%,22.2%,7.3%,7.9%,22.3%,,,,,,,,,,
All Size Bands,67.2%,27.4%,56.4%,22.3%,11.2%,9.9%,20.7%,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Rounded to one decimal place,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Notes: ,,,,,,,,,,,,,,,,,
"Final results, Wave 3 of ONS Business Impact of Coronavirus (COVID-19) Survey that are either continuing to trade or who have temporarily paused or ceased trading.",,,,,,,,,,,,,,,,,
The percentages in this chart will not sum to 100% as businesses were able to select multiple options,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Percentage of businesses either continuing to trade or who have temporarily paused or ceased trading, broken down by country, UK, 6 April to 19 April 2020",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Country,Coronavirus Job Retention Scheme,Business rates holiday,Deferring VAT payments,HMRC Time To Pay scheme,Government-funded small business grant or loan schemes,Accredited finance agreements,We have not applied for any of these initiatives,,,,,,,,,,
England,67.3%,27.4%,57.3%,22.4%,10.9%,9.7%,20.5%,,,,,,,,,,
Wales,73.8%,38.7%,65.1%,25.5%,13.7%,12.7%,13.4%,,,,,,,,,,
Scotland,71.7%,29.0%,63.0%,23.5%,7.5%,9.8%,16.5%,,,,,,,,,,
Northern Ireland,65.2%,30.4%,40.2%,13.0%,10.9%,6.5%,23.9%,,,,,,,,,,
UK,67.2%,27.4%,56.4%,22.3%,11.2%,9.9%,20.7%,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Rounded to one decimal place,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Notes: ,,,,,,,,,,,,,,,,,
"Final results, Wave 3 of ONS Business Impact of Coronavirus (COVID-19) Survey that are either continuing to trade or who have temporarily paused or ceased trading.",,,,,,,,,,,,,,,,,
The percentages in this chart will not sum to 100% as businesses were able to select multiple options,,,,,,,,,,,,,,,,,
Estimates for Northern Ireland are based on a small response and should be treated with caution.,,,,,,,,,,,,,,,,,
